date,ticker,low,high,open,close
20040819,GOOG,95.96,104.06,100.01,100.335
20040820,GOOG,100.5,109.08,101.48,108.31
20040823,GOOG,109.05,113.48,110.84,109.4
20040824,GOOG,103.57,111.6,111.3,104.87
20040825,GOOG,103.88,108,104.96,106
20040826,GOOG,104.66,107.95,105.11,107.91
20040827,GOOG,105.69,108.62,108.11,106.15
20040830,GOOG,102.01,105.49,105.49,102.01
20040831,GOOG,102.16,103.71,102.32,102.37
20040901,GOOG,99.67,102.97,102.7,100.25
20040902,GOOG,98.94,102.37,99.09,101.51
20040903,GOOG,99.32,101.74,100.95,100.01
20040907,GOOG,99.61,102,101.01,101.58
20040908,GOOG,100.5,103.03,100.74,102.3
20040909,GOOG,101,102.71,102.5,102.31
20040910,GOOG,101.3,106.56,101.6,105.33
20040913,GOOG,106.46,108.41,106.88,107.5
20040914,GOOG,106.79,112,107.68,111.49
20040915,GOOG,110.2,114.23,110.56,112
20040916,GOOG,111.65,115.8,112.34,113.97
20040917,GOOG,113.55,117.49,114.42,117.49
20040920,GOOG,116.77,121.6,116.95,119.36
20040921,GOOG,117.51,120.42,120.2,117.84
20040922,GOOG,116.81,119.67,117.45,118.38
20040923,GOOG,117.02,122.63,118.84,120.82
20040924,GOOG,119.76,124.1,120.97,119.83
20040927,GOOG,117.8,120.88,119.56,118.26
20040928,GOOG,120.21,127.4,121.05,126.86
20040929,GOOG,126.23,135.02,126.53,131.08
20040930,GOOG,129,132.3,130.22,129.6
20041001,GOOG,128.9,134.24,130.64,132.58
20041004,GOOG,134.03,136.87,135.82,135.06
20041005,GOOG,132.24,138.53,134.66,138.37
20041006,GOOG,136,138.45,137.67,137.08
20041007,GOOG,136.55,139.88,136.56,138.85
20041008,GOOG,137.02,139.68,138.73,137.73
20041011,GOOG,133.85,138.86,137.01,135.26
20041012,GOOG,133.4,137.61,134.49,137.4
20041013,GOOG,140.08,143.55,143.32,140.9
20041014,GOOG,138.56,142.38,141.02,142
20041015,GOOG,141.95,145.5,144.95,144.11
20041018,GOOG,141.21,149.2,143.2,149.16
20041019,GOOG,147.35,152.4,150.5,147.94
20041020,GOOG,139.6,148.99,147.94,140.49
20041021,GOOG,141.62,150.13,143.98,149.38
20041022,GOOG,164.08,180.17,170.32,172.43
20041025,GOOG,172.55,194.43,176.28,187.4
20041026,GOOG,180,192.64,186.449,181.8
20041027,GOOG,181.77,189.52,182.29,185.97
20041028,GOOG,185.6,194.39,186.63,193.3
20041029,GOOG,190.6,199.95,198.36,190.64
20041101,GOOG,191.27,197.67,193.5,196.03
20041102,GOOG,193.34,199.25,198.66,194.87
20041103,GOOG,190.75,201.6,198.19,191.67
20041104,GOOG,183.35,190.4,188.25,184.7
20041105,GOOG,168.55,182.3,182,169.35
20041108,GOOG,169.4,175.44,170.93,172.55
20041109,GOOG,165.27,175.2,174.1,168.7
20041110,GOOG,166.33,172.52,170.67,167.86
20041111,GOOG,167.57,183.75,169.13,183.02
20041112,GOOG,177.4,189.8,185.23,182
20041115,GOOG,178.75,188.32,180.25,184.87
20041116,GOOG,170.83,179.47,177.5,172.545
20041117,GOOG,169,177.5,169.06,172.5
20041118,GOOG,165.73,174.42,170,167.54
20041119,GOOG,166.52,169.98,169.1,169.4
20041122,GOOG,161.31,169.5,168.645,165.1
20041123,GOOG,166.5,170.83,167.915,167.52
20041124,GOOG,172.51,177.21,174.84,174.76
20041126,GOOG,175.32,180.03,175.8,179.39
20041129,GOOG,177.51,182.95,180.36,181.05
20041130,GOOG,180.25,183,180.71,181.98
20041201,GOOG,179.55,182.5,182.1,179.96
20041202,GOOG,178.55,181.51,179.9,179.4
20041203,GOOG,177.6,181.06,180,180.4
20041206,GOOG,176.02,180.7,179.13,176.29
20041207,GOOG,170.55,176.2,176,171.43
20041208,GOOG,168.73,173.68,170.57,169.98
20041209,GOOG,168.47,173.5,170.25,173.43
20041210,GOOG,171.29,174.88,173.43,171.65
20041213,GOOG,169.45,173.18,172.17,170.45
20041214,GOOG,169.6,178.82,171,178.69
20041215,GOOG,176.66,180.69,177.99,179.78
20041216,GOOG,175.95,180.49,176.82,176.47
20041217,GOOG,176.55,180.5,177,180.08
20041220,GOOG,181.87,188.46,181.93,185.02
20041221,GOOG,183.4,187.88,186.17,183.75
20041222,GOOG,183.01,186.85,183.9,186.3
20041223,GOOG,186,188.6,187.45,187.9
20041227,GOOG,189.1,193.3,189.15,191.91
20041228,GOOG,191.01,193.55,192.11,192.76
20041229,GOOG,191.78,193.52,191.78,192.9
20041230,GOOG,191.85,198.23,192.97,197.6
20041231,GOOG,192.56,199.88,199.23,192.79
20050103,GOOG,195.46,203.64,197.4,202.71
20050104,GOOG,193.48,202.93,201.33,194.5
20050105,GOOG,192.23,196.9,193.45,193.51
20050106,GOOG,187.72,195.9,195.25,188.55
20050107,GOOG,188.78,194.25,190.64,193.85
20050110,GOOG,191.83,198.1,194.5,195.06
20050111,GOOG,193.18,197.71,195.38,193.54
20050112,GOOG,190.5,195.93,194.33,195.38
20050113,GOOG,194.05,197.39,195.38,195.33
20050114,GOOG,194.13,200.01,196,199.97
20050118,GOOG,198.66,205.02,200.89,203.9
20050119,GOOG,196.71,205.3,204.64,197.3
20050120,GOOG,192,196.25,192.5,193.92
20050121,GOOG,188.12,195.36,194.54,188.28
20050124,GOOG,180.32,189.33,188.69,180.72
20050125,GOOG,176.29,182.24,182.2,177.12
20050126,GOOG,179.15,189.41,179.27,189.24
20050127,GOOG,185.2,188.86,188.59,188.08
20050128,GOOG,186.34,194.7,190.02,190.34
20050131,GOOG,191.72,196.36,193.87,195.62
20050201,GOOG,190.63,203.75,194.38,191.9
20050202,GOOG,203.66,216.8,215.64,205.96
20050203,GOOG,205.81,213.37,205.86,210.86
20050204,GOOG,202.6,207.75,206.47,204.36
20050207,GOOG,195.51,206.4,205.26,196.03
20050208,GOOG,194.53,200.02,196.96,198.64
20050209,GOOG,189.46,201.6,200.76,191.58
20050210,GOOG,185.25,192.21,191.97,187.98
20050211,GOOG,186.07,192.32,186.66,187.4
20050214,GOOG,181,193.08,182.89,192.99
20050215,GOOG,193.08,199.84,193.605,195.23
20050216,GOOG,194.3,199.33,194.7,198.41
20050217,GOOG,196.81,199.75,198.35,197.9
20050218,GOOG,196.66,198.84,198.27,197.95
20050222,GOOG,190.39,198.9,196.67,191.37
20050223,GOOG,188.66,194.48,193.3,193.95
20050224,GOOG,182.23,189.85,182.8,188.89
20050225,GOOG,185.51,189.92,189.38,185.87
20050228,GOOG,185.85,189.87,186,187.99
20050301,GOOG,185.39,189.75,189.29,186.06
20050302,GOOG,184.36,187.67,185.95,185.18
20050303,GOOG,184.31,187.75,186.13,187.005
20050304,GOOG,185.07,187.25,186.7,185.9
20050307,GOOG,187.03,189.6,187.52,188.81
20050308,GOOG,184.97,189.85,189.1,185.2
20050309,GOOG,180.16,184.65,184.21,181.35
20050310,GOOG,177.4,181.2,181.01,179.98
20050311,GOOG,177.15,180.95,180.44,177.8
20050314,GOOG,172.57,178.4,178.33,174.99
20050315,GOOG,174.21,180,175.3,178.61
20050316,GOOG,175.01,178.61,176.7,175.6
20050317,GOOG,175.8,179.64,177.13,179.29
20050318,GOOG,178.31,180.4,178.81,180.04
20050321,GOOG,177.25,182.17,179.35,180.88
20050322,GOOG,177.85,181.94,181.18,178.6
20050323,GOOG,177.97,180.24,177.97,178.98
20050324,GOOG,179.2,180.86,180.7,179.25
20050328,GOOG,180.95,184.8,181.68,181.42
20050329,GOOG,178.07,183.28,181.05,179.57
20050330,GOOG,179.6,181.45,180.64,180.45
20050331,GOOG,177.64,181.39,177.95,180.51
20050401,GOOG,179.99,182.95,181.46,180.04
20050404,GOOG,179.84,185.32,179.95,185.29
20050405,GOOG,187.57,190.26,187.89,188.57
20050406,GOOG,187.58,189.65,188.69,189.22
20050407,GOOG,188.64,194.62,188.78,193.76
20050408,GOOG,191.45,195.1,193.69,192.05
20050411,GOOG,192.32,194.8,193.09,193.23
20050412,GOOG,189.41,194.42,193,193.955
20050413,GOOG,189.73,194.32,193.47,192.93
20050414,GOOG,190.1,194.36,193,191.45
20050415,GOOG,184.66,190.34,190.1,185
20050418,GOOG,183.49,187.88,184.96,186.97
